"filename", "language", "TOML", "Rust", "Python", "comment", "blank", "total"
"/Users/matt/repos/qec/Cargo.toml", "TOML", 13, 0, 0, 1, 3, 17
"/Users/matt/repos/qec/LPS.py", "Python", 0, 0, 296, 87, 39, 422
"/Users/matt/repos/qec/build.rs", "Rust", 0, 3, 0, 0, 1, 4
"/Users/matt/repos/qec/src/classical.rs", "Rust", 0, 67, 0, 3, 8, 78
"/Users/matt/repos/qec/src/left_right_cayley.rs", "Rust", 0, 248, 0, 10, 37, 295
"/Users/matt/repos/qec/src/lib.rs", "Rust", 0, 6, 0, 0, 2, 8
"/Users/matt/repos/qec/src/lps.rs", "Rust", 0, 664, 0, 27, 64, 755
"/Users/matt/repos/qec/src/quantum.rs", "Rust", 0, 368, 0, 6, 32, 406
"Total", "-", 13, 1356, 296, 134, 186, 1985
